type,location,cause,metrics,year,val,,
country,China,Air pollution,Number,1990,2272444.636,,
country,China,Air pollution,Percent,1990,0.268289149,,
country,China,Air pollution,Number,1991,2300806.872,,
country,China,Air pollution,Percent,1991,0.269214531,,
country,China,Air pollution,Number,1992,2327509.58,,
country,China,Air pollution,Percent,1992,0.271350687,,
country,China,Air pollution,Number,1993,2346584.79,,
country,China,Air pollution,Percent,1993,0.273217729,,
country,China,Air pollution,Number,1994,2364098.643,,
country,China,Air pollution,Percent,1994,0.275162908,,
country,China,Air pollution,Number,1995,2379164.058,,
country,China,Air pollution,Percent,1995,0.276726974,,
country,China,Air pollution,Number,1996,2380550.67,,
country,China,Air pollution,Percent,1996,0.277890069,,
country,China,Air pollution,Number,1997,2380567.54,,
country,China,Air pollution,Percent,1997,0.279058614,,
country,China,Air pollution,Number,1998,2396549.546,,
country,China,Air pollution,Percent,1998,0.279351582,,
country,China,Air pollution,Number,1999,2425888.052,,
country,China,Air pollution,Percent,1999,0.279724609,,
country,China,Air pollution,Number,2000,2491933.162,,
country,China,Air pollution,Percent,2000,0.280083326,,
country,China,Air pollution,Number,2001,2536960.759,,
country,China,Air pollution,Percent,2001,0.280384634,,
country,China,Air pollution,Number,2002,2550092.606,,
country,China,Air pollution,Percent,2002,0.278687619,,
country,China,Air pollution,Number,2003,2600995.7,,
country,China,Air pollution,Percent,2003,0.277599002,,
country,China,Air pollution,Number,2004,2646327.178,,
country,China,Air pollution,Percent,2004,0.276100805,,
country,China,Air pollution,Number,2005,2609873.496,,
country,China,Air pollution,Percent,2005,0.273448846,,
country,China,Air pollution,Number,2006,2452428.096,,
country,China,Air pollution,Percent,2006,0.267604088,,
country,China,Air pollution,Number,2007,2395890.823,,
country,China,Air pollution,Percent,2007,0.262788984,,
country,China,Air pollution,Number,2008,2415131.556,,
country,China,Air pollution,Percent,2008,0.256944875,,
country,China,Air pollution,Number,2009,2443593.708,,
country,China,Air pollution,Percent,2009,0.256216191,,
country,China,Air pollution,Number,2010,2471803.282,,
country,China,Air pollution,Percent,2010,0.254064141,,
country,China,Air pollution,Number,2011,2470403.186,,
country,China,Air pollution,Percent,2011,0.251954415,,
country,China,Air pollution,Number,2012,2437901.924,,
country,China,Air pollution,Percent,2012,0.248519181,,
country,China,Air pollution,Number,2013,2438267.977,,
country,China,Air pollution,Percent,2013,0.245854098,,
country,China,Air pollution,Number,2014,2427188.277,,
country,China,Air pollution,Percent,2014,0.242364433,,
country,China,Air pollution,Number,2015,2413473.324,,
country,China,Air pollution,Percent,2015,0.238206719,,
country,China,Air pollution,Number,2016,2414449.253,,
country,China,Air pollution,Percent,2016,0.232254946,,
country,China,Air pollution,Number,2017,2358836.646,,
country,China,Air pollution,Percent,2017,0.222704412,,
country,China,Air pollution,Number,2018,2270312.849,,
country,China,Air pollution,Percent,2018,0.210235785,,
country,China,Air pollution,Number,2019,2214136.46,,
country,China,Air pollution,Percent,2019,0.199840742,,
country,China,Air pollution,Number,2020,2160756.604,,
country,China,Air pollution,Percent,2020,0.189097904,,
country,China,Air pollution,Number,2021,2349331.68,,
country,China,Air pollution,Percent,2021,0.20080559,,
country,China,Occupational risks,Number,1990,488538.8471,,
country,China,Occupational risks,Percent,1990,0.057691387,,
country,China,Occupational risks,Number,1991,492323.1778,,
country,China,Occupational risks,Percent,1991,0.057622542,,
country,China,Occupational risks,Number,1992,495328.0767,,
country,China,Occupational risks,Percent,1992,0.05776126,,
country,China,Occupational risks,Number,1993,497331.671,,
country,China,Occupational risks,Percent,1993,0.057924488,,
country,China,Occupational risks,Number,1994,498775.3126,,
country,China,Occupational risks,Percent,1994,0.058056619,,
country,China,Occupational risks,Number,1995,498444.8012,,
country,China,Occupational risks,Percent,1995,0.05798402,,
country,China,Occupational risks,Number,1996,493762.2759,,
country,China,Occupational risks,Percent,1996,0.057646482,,
country,China,Occupational risks,Number,1997,488106.5313,,
country,China,Occupational risks,Percent,1997,0.057223912,,
country,China,Occupational risks,Number,1998,484499.0509,,
country,China,Occupational risks,Percent,1998,0.056483076,,
country,China,Occupational risks,Number,1999,481527.8157,,
country,China,Occupational risks,Percent,1999,0.055537945,,
country,China,Occupational risks,Number,2000,482395.365,,
country,China,Occupational risks,Percent,2000,0.054238651,,
country,China,Occupational risks,Number,2001,478771.2019,,
country,China,Occupational risks,Percent,2001,0.052923945,,
country,China,Occupational risks,Number,2002,469302.1225,,
country,China,Occupational risks,Percent,2002,0.051299273,,
country,China,Occupational risks,Number,2003,463203.5852,,
country,China,Occupational risks,Percent,2003,0.049449018,,
country,China,Occupational risks,Number,2004,457810.7735,,
country,China,Occupational risks,Percent,2004,0.047767825,,
country,China,Occupational risks,Number,2005,444078.9741,,
country,China,Occupational risks,Percent,2005,0.046536404,,
country,China,Occupational risks,Number,2006,418809.7894,,
country,China,Occupational risks,Percent,2006,0.045711566,,
country,China,Occupational risks,Number,2007,406701.0959,,
country,China,Occupational risks,Percent,2007,0.044615119,,
country,China,Occupational risks,Number,2008,404291.3625,,
country,China,Occupational risks,Percent,2008,0.04301884,,
country,China,Occupational risks,Number,2009,404115.9139,,
country,China,Occupational risks,Percent,2009,0.042384547,,
country,China,Occupational risks,Number,2010,403113.2522,,
country,China,Occupational risks,Percent,2010,0.041446422,,
country,China,Occupational risks,Number,2011,397042.3782,,
country,China,Occupational risks,Percent,2011,0.040509549,,
country,China,Occupational risks,Number,2012,390049.732,,
country,China,Occupational risks,Percent,2012,0.039770708,,
country,China,Occupational risks,Number,2013,384498.8681,,
country,China,Occupational risks,Percent,2013,0.038778555,,
country,China,Occupational risks,Number,2014,379656.1952,,
country,China,Occupational risks,Percent,2014,0.037924409,,
country,China,Occupational risks,Number,2015,377831.8353,,
country,China,Occupational risks,Percent,2015,0.03730417,,
country,China,Occupational risks,Number,2016,381513.8583,,
country,China,Occupational risks,Percent,2016,0.036731469,,
country,China,Occupational risks,Number,2017,382312.1832,,
country,China,Occupational risks,Percent,2017,0.036114614,,
country,China,Occupational risks,Number,2018,385080.046,,
country,China,Occupational risks,Percent,2018,0.035672963,,
country,China,Occupational risks,Number,2019,391126.1447,,
country,China,Occupational risks,Percent,2019,0.035329747,,
country,China,Occupational risks,Number,2020,398656.7378,,
country,China,Occupational risks,Percent,2020,0.034912362,,
country,China,Occupational risks,Number,2021,407615.7757,,
country,China,Occupational risks,Percent,2021,0.034876702,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1990,127781.9202,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1990,0.015094135,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1991,120286.4422,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1991,0.014089044,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1992,108427.7927,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1992,0.012656064,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1993,97358.67543,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1993,0.011351084,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1994,87672.48294,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1994,0.010205083,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1995,78216.67669,,
